username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
BahiaTerrazas,"Dos Deptos. de lujo, ubicados en el magnifico complejo del Residencial Bahía Príncipe, para Renta Vacacional, entre las playas de Akumal y Tulum.",,200,200,88893,2019-05-11 16:34:18,2020-07-07 01:56:32,3,"#Cancun is also renowned for its #spectacular #beaches and boasts many #magnificent #islands such as #Cozumel. This island is #popular #destination for #divers, #snorkelers and represents #Mexico’s largest #Caribbeanisland
https://t.co/ml9oQLnrh5
#Saveene  #villa #caribbeanvibes https://t.co/2OtiDJg6xP","[{'text': 'Cancun', 'indices': [13, 20]}, {'text': 'spectacular', 'indices': [46, 58]}, {'text': 'beaches', 'indices': [59, 67]}, {'text': 'magnificent', 'indices': [84, 96]}, {'text': 'islands', 'indices': [97, 105]}, {'text': 'Cozumel', 'indices': [114, 122]}]"
Roger_cozumel,,,53,21,2853,2017-06-10 16:35:48,2020-07-07 01:55:56,3,"#Cancun is also renowned for its #spectacular #beaches and boasts many #magnificent #islands such as #Cozumel. This island is #popular #destination for #divers, #snorkelers and represents #Mexico’s largest #Caribbeanisland
https://t.co/ml9oQLnrh5
#Saveene  #villa #caribbeanvibes https://t.co/2OtiDJg6xP","[{'text': 'Cancun', 'indices': [13, 20]}, {'text': 'spectacular', 'indices': [46, 58]}, {'text': 'beaches', 'indices': [59, 67]}, {'text': 'magnificent', 'indices': [84, 96]}, {'text': 'islands', 'indices': [97, 105]}, {'text': 'Cozumel', 'indices': [114, 122]}]"
trendstees,Trendstees Trendy Clothes for Men’s or Women’s in the United States. contact us at the email admin@trendstees.com or trendsteesshop@gmail.com,"California, USA",252,400,3649,2017-09-08 06:57:38,2020-07-07 01:50:40,0,"Like and Retweet if you want this Women Aren't Rehabilitation Centers For Unstable And Insecure Men T-Shirt
Tag a friend who would love this!
COUPON CODE "" special4u""
Buy one here---&gt; https://t.co/xl7KYJ783Q
#trending#sweatshirt#hoodie#graphic#ootd #gifts #outfit #need #popular https://t.co/Fa9hAZa8wc","[{'text': 'gifts', 'indices': [252, 258]}, {'text': 'outfit', 'indices': [259, 266]}, {'text': 'need', 'indices': [267, 272]}, {'text': 'popular', 'indices': [273, 281]}]"
DonaldNdoro,,"London, England",11,13226,296616,2014-04-21 07:41:33,2020-07-07 01:48:39,3,"https://t.co/WH1qgHzwWy, a clever play on the word ""popular""  is now listed for sale @brandpa

#startup #domainnames #brandable #fintech #technology #ai #ArtificialIntelligence #Robotics #machinelearning #BigData #science #business #consulting #tech #popular https://t.co/0pz232oN6K","[{'text': 'startup', 'indices': [114, 122]}, {'text': 'domainnames', 'indices': [123, 135]}]"
Brand_stadium,One stop place for your premium domain names. #brandables #Robotics #autonomous #cannabis #ai #blockchain #Crypto #startup #DomainsForSale #fintech #insurance,,4768,1300,3557,2018-04-01 20:19:35,2020-07-07 01:46:35,3,"https://t.co/WH1qgHzwWy, a clever play on the word ""popular""  is now listed for sale @brandpa

#startup #domainnames #brandable #fintech #technology #ai #ArtificialIntelligence #Robotics #machinelearning #BigData #science #business #consulting #tech #popular https://t.co/0pz232oN6K","[{'text': 'startup', 'indices': [95, 103]}, {'text': 'domainnames', 'indices': [104, 116]}, {'text': 'brandable', 'indices': [117, 127]}, {'text': 'fintech', 'indices': [128, 136]}, {'text': 'technology', 'indices': [137, 148]}, {'text': 'ai', 'indices': [149, 152]}, {'text': 'ArtificialIntelligence', 'indices': [153, 176]}, {'text': 'Robotics', 'indices': [177, 186]}, {'text': 'machinelearning', 'indices': [187, 203]}, {'text': 'BigData', 'indices': [204, 212]}, {'text': 'science', 'indices': [213, 221]}, {'text': 'business', 'indices': [222, 231]}, {'text': 'consulting', 'indices': [232, 243]}, {'text': 'tech', 'indices': [244, 249]}, {'text': 'popular', 'indices': [250, 258]}]"
ambani_india,"Founder - @reliancejio 
Chairman - @relianceindltd
Chairperson - @ril_foundation 
Owner - @mipaltan

Richest family of india",Mumbai (india),260,99,83,2019-05-03 07:11:05,2020-07-07 01:35:02,1,Warm #birthday greetings to you my dearest #friend #msdhoni #world #famous #popular #celebrity #star #cricketer of #cricket #team #india #ms #Dhoni #mahendrasinghdhoni #mahi #HappyBirthdayDhoni https://t.co/cdB27uyoPF,"[{'text': 'birthday', 'indices': [5, 14]}, {'text': 'friend', 'indices': [43, 50]}, {'text': 'msdhoni', 'indices': [51, 59]}, {'text': 'world', 'indices': [60, 66]}, {'text': 'famous', 'indices': [67, 74]}, {'text': 'popular', 'indices': [75, 83]}, {'text': 'celebrity', 'indices': [84, 94]}, {'text': 'star', 'indices': [95, 100]}, {'text': 'cricketer', 'indices': [101, 111]}, {'text': 'cricket', 'indices': [115, 123]}, {'text': 'team', 'indices': [124, 129]}, {'text': 'india', 'indices': [130, 136]}, {'text': 'ms', 'indices': [137, 140]}, {'text': 'Dhoni', 'indices': [141, 147]}, {'text': 'mahendrasinghdhoni', 'indices': [148, 167]}, {'text': 'mahi', 'indices': [168, 173]}, {'text': 'HappyBirthdayDhoni', 'indices': [174, 193]}]"
emanuel_russi,"Eu e a minha esposa, cremos e servimos a um único Deus, o Pai, e um único Senhor, Jesus Cristo, para quem vivemos e existimos.",,149,2237,109349,2011-12-20 23:40:50,2020-07-07 01:29:33,40,capadocia air balloon turkey #popular #cappadocia #FAIRYTAIL #AirBalloon #Turkey #instamood #instadaily #Wana #go https://t.co/OZr0bCR9HS,"[{'text': 'popular', 'indices': [50, 58]}, {'text': 'cappadocia', 'indices': [59, 70]}, {'text': 'FAIRYTAIL', 'indices': [71, 81]}, {'text': 'AirBalloon', 'indices': [82, 93]}, {'text': 'Turkey', 'indices': [94, 101]}, {'text': 'instamood', 'indices': [102, 112]}, {'text': 'instadaily', 'indices': [113, 124]}, {'text': 'Wana', 'indices': [125, 130]}, {'text': 'go', 'indices': [131, 134]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-07 01:23:02,0,"Victress Capital, a fund founded by women to back women founders, just closed its second fund https://t.co/WR0JAnYyQI via @ric9871ric  #popular #retweetplease https://t.co/v23inawhm4","[{'text': 'popular', 'indices': [135, 143]}, {'text': 'retweetplease', 'indices': [144, 158]}]"
vivid_whisper,Whispers of the weird and wonderful. Stories of the space where the worldly and the otherworldly meet.,,4,3,8,2020-07-03 18:59:48,2020-07-07 01:23:01,0,"At this current moment, we are no longer taking submissions for the role of Quinn. She is quite popular! Thank you all who have applied for her and the many other roles!  #auditions #popular #voiceacting","[{'text': 'auditions', 'indices': [171, 181]}, {'text': 'popular', 'indices': [182, 190]}, {'text': 'voiceacting', 'indices': [191, 203]}]"
FoxyExpressions,"Digital Paper, Washi Tape, Clipart, Invitations, Custom Designs, and Much More. We keep prices low to increase your bottom line! Crafters welcome!","Rialto, CA",326,323,12770,2015-07-26 04:10:59,2020-07-07 01:18:22,0,Check out this hot item from Foxy Expressions! Get it today! https://t.co/1Qqm47VJUt #hotitem #foxyexpress #sale #popular https://t.co/fYqZ7c3loh https://t.co/HHt1TpQHYg,"[{'text': 'hotitem', 'indices': [85, 93]}, {'text': 'foxyexpress', 'indices': [94, 106]}, {'text': 'sale', 'indices': [107, 112]}, {'text': 'popular', 'indices': [113, 121]}]"
THEWEBLIST,The aggregator of popular links from around the web.,the cloud,2,92,10506,2008-12-24 18:23:14,2020-07-07 01:00:02,0,Two People Jump Off A Roof At A July 4 Pool Party. One Ends In Chaos #news #popular https://t.co/8gdKNDTrBU,"[{'text': 'news', 'indices': [69, 74]}, {'text': 'popular', 'indices': [75, 83]}]"
leonlambert1982,"#Director, MV #Producer of the year 2019 #nominee, #Entrepreneur, Leon Lambert`s #Official #Twitter Account. https://t.co/RhnkGZ6lEI",,1808,1069,13413,2016-06-11 23:18:04,2020-07-07 00:57:33,0,Jessi´s slow but rough handjob ends up with a half-ruined slow thick cum without a real shot but oozing until the last drop #panty #hose #pantyhose #panties #pantyhoseacademy #visit #now https://t.co/lbrE0iWexi #popular #videos,"[{'text': 'panty', 'indices': [124, 130]}, {'text': 'hose', 'indices': [131, 136]}, {'text': 'pantyhose', 'indices': [137, 147]}, {'text': 'panties', 'indices': [148, 156]}, {'text': 'pantyhoseacademy', 'indices': [157, 174]}, {'text': 'visit', 'indices': [175, 181]}, {'text': 'now', 'indices': [182, 186]}, {'text': 'popular', 'indices': [211, 219]}, {'text': 'videos', 'indices': [220, 227]}]"
CHRISGR3EN,New Retro Music https://t.co/hQZqeIYBMD NewBlackGreen@gmail.com,OUT 4 BLOOD,534,740,26994,2009-05-27 21:47:56,2020-07-07 00:43:25,0,"Tell me of this sound 🔥 
#Death On My Wrist
Swipe Left to listen 🎶 
We cant box. Im putting haters in a ⚰

#instadaily #instagood #rapper #newrapartist #producer #bestproducer #vidoftheday #picoftheday #popular… https://t.co/tDIXRDMvXN","[{'text': 'Death', 'indices': [25, 31]}, {'text': 'instadaily', 'indices': [107, 118]}, {'text': 'instagood', 'indices': [119, 129]}, {'text': 'rapper', 'indices': [130, 137]}, {'text': 'newrapartist', 'indices': [138, 151]}, {'text': 'producer', 'indices': [152, 161]}, {'text': 'bestproducer', 'indices': [162, 175]}, {'text': 'vidoftheday', 'indices': [176, 188]}, {'text': 'picoftheday', 'indices': [189, 201]}, {'text': 'popular', 'indices': [202, 210]}]"
deadstksoles,"Deadstock Soles is a premier boutique, supplying you with Authentic exclusive sneakers. A Hypebeast closet open to sneakerheads and those alike.",,46,1,73,2020-04-17 23:37:02,2020-07-07 00:43:06,0,"Air Jordan 1 Retro Obsidian/University Blue 🔥🔥🔥

Now available on our eBay store Deadstocksolesllc see you there. 

#sneakerhead #kicksonfire #obsidian1s #retro1 #drip #hype #popular #jordan #mj #mjmondays #deadstock #shoes #deadstocksoles #deadstocksolesllc #authentic https://t.co/0X9r2YaH1s","[{'text': 'sneakerhead', 'indices': [116, 128]}, {'text': 'kicksonfire', 'indices': [129, 141]}, {'text': 'obsidian1s', 'indices': [142, 153]}, {'text': 'retro1', 'indices': [154, 161]}, {'text': 'drip', 'indices': [162, 167]}, {'text': 'hype', 'indices': [168, 173]}, {'text': 'popular', 'indices': [174, 182]}, {'text': 'jordan', 'indices': [183, 190]}, {'text': 'mj', 'indices': [191, 194]}, {'text': 'mjmondays', 'indices': [195, 205]}, {'text': 'deadstock', 'indices': [206, 216]}, {'text': 'shoes', 'indices': [217, 223]}, {'text': 'deadstocksoles', 'indices': [224, 239]}, {'text': 'deadstocksolesllc', 'indices': [240, 258]}, {'text': 'authentic', 'indices': [259, 269]}]"
LUCHIMILLIANI,IMA CHECKRUNNER DIRECTOR/RAPPER/clothingdesigner #ATLANTA #VIRGINISLANDS @6thwondershop CRB FYB (MUSICVIDEOS) https://t.co/rHXfR7e1P5,6TH WONDER,1933,1271,35516,2009-12-09 05:05:16,2020-07-07 00:21:19,0,"LYFE-STARZ ⭐️ 💫 FT @JodyLamak888 ... @LUCHIMILLIANI 🌀🧸🌀 #atl #Atlanta #drunk #high #wasted #lit #trending #popular #explorepage #viral #6thwonder #yeezy #orange @ Atlanta, Georgia https://t.co/7RiQRZQmk8","[{'text': 'atl', 'indices': [56, 60]}, {'text': 'Atlanta', 'indices': [61, 69]}, {'text': 'drunk', 'indices': [70, 76]}, {'text': 'high', 'indices': [77, 82]}, {'text': 'wasted', 'indices': [83, 90]}, {'text': 'lit', 'indices': [91, 95]}, {'text': 'trending', 'indices': [96, 105]}, {'text': 'popular', 'indices': [106, 114]}, {'text': 'explorepage', 'indices': [115, 127]}, {'text': 'viral', 'indices': [128, 134]}, {'text': '6thwonder', 'indices': [135, 145]}, {'text': 'yeezy', 'indices': [146, 152]}, {'text': 'orange', 'indices': [153, 160]}]"
ScoopDaa,"Studied @ Long Beach State, Retired After 30 Years in the Oil Industry, Happily Divorced After 30 Years of Marriage, Love Jazz, Giving Back & Angels Baseball","Long Beach, CA aka LBC",552,5934,147150,2011-02-24 23:20:14,2020-07-07 00:08:07,1,#BREAKING: THE @USSUPREMECOURT RULES #PRESIDENTIAL ELECTORS 'MUST' BACK THEIR STATE'S #POPULAR VOTE WINNER https://t.co/dASzdpS9qq via @nypost,"[{'text': 'BREAKING', 'indices': [14, 23]}, {'text': 'PRESIDENTIAL', 'indices': [51, 64]}, {'text': 'POPULAR', 'indices': [100, 108]}]"
ZODALITT,Lise Jonsson- composer-pianist- neo classical- new age- progressive pop/rock- self-taught,,422,703,1346,2018-01-21 16:06:40,2020-07-06 23:40:03,15,@MunchLine has #curated an awsome #playlist for you w/ the #most #popular #songs of #July #Independent #artists #Lukas @InRegalia @MoonDreamsMusic @JohnClark_Music @asecondlifeNY @ZODALITT @babetteduwez @Infomightyfall1 #NowPlaying https://t.co/496BnH3bcV,"[{'text': 'curated', 'indices': [36, 44]}, {'text': 'playlist', 'indices': [55, 64]}, {'text': 'most', 'indices': [80, 85]}, {'text': 'popular', 'indices': [86, 94]}, {'text': 'songs', 'indices': [95, 101]}, {'text': 'July', 'indices': [105, 110]}, {'text': 'Independent', 'indices': [111, 123]}, {'text': 'artists', 'indices': [124, 132]}, {'text': 'Lukas', 'indices': [133, 139]}]"
vivoencozumel,#VivoEnCozumel Información urbana y de interés. Este timeline se alimenta del tuyo. Parte del equipo VivoEnMX. Contacto para publicidad vivoencozumel@gmail.com,Cozumel,2788,7689,22590,2010-11-18 22:54:48,2020-07-06 23:35:34,3,"#Cancun is also renowned for its #spectacular #beaches and boasts many #magnificent #islands such as #Cozumel. This island is #popular #destination for #divers, #snorkelers and represents #Mexico’s largest #Caribbeanisland
https://t.co/ml9oQLnrh5
#Saveene  #villa #caribbeanvibes https://t.co/2OtiDJg6xP","[{'text': 'Cancun', 'indices': [13, 20]}, {'text': 'spectacular', 'indices': [46, 58]}, {'text': 'beaches', 'indices': [59, 67]}, {'text': 'magnificent', 'indices': [84, 96]}, {'text': 'islands', 'indices': [97, 105]}, {'text': 'Cozumel', 'indices': [114, 122]}]"
MEDIABOXSTORE,"A tech blog focused on #blogging tips, #SEO, #socialmedia, #mobile #gadgets, pc tips, how-to guides and general #tips and #tricks https://t.co/07uPAOg9St",Egypt,4992,19595,713287,2011-04-09 10:44:55,2020-07-06 23:13:41,0,Can You #Correctly #Identify 8/10 Of These #Countries By Their Second Most #Popular… https://t.co/DsMpjCFBya,"[{'text': 'Correctly', 'indices': [8, 18]}, {'text': 'Identify', 'indices': [19, 28]}, {'text': 'Countries', 'indices': [43, 53]}, {'text': 'Popular', 'indices': [75, 83]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-06 22:43:10,0,Email is broken and Hey’s Jason Fried is here to fix it https://t.co/TJmYSPktYT via @ric9871ric  #retweet #popular https://t.co/kQaHA3KRNi,"[{'text': 'retweet', 'indices': [97, 105]}, {'text': 'popular', 'indices': [106, 114]}]"
ExtacAustralia,"Australia's favourite online knife store. Folding knives, Fixed Blades and all things outdoor and survival gear.","Gold Coast, Queensland",35,32,601,2018-04-24 04:00:26,2020-07-06 22:02:21,0,"Welcome to the Kershaw Valve!

#Extac #Australia #Kershaw #EverydayCarry #FoldingKnives #Trending #Popular

- Link In Bio https://t.co/W0nTMyBUmi","[{'text': 'Extac', 'indices': [31, 37]}, {'text': 'Australia', 'indices': [38, 48]}, {'text': 'Kershaw', 'indices': [49, 57]}, {'text': 'EverydayCarry', 'indices': [58, 72]}, {'text': 'FoldingKnives', 'indices': [73, 87]}, {'text': 'Trending', 'indices': [88, 97]}, {'text': 'Popular', 'indices': [98, 106]}]"
ryederhype,Go Go Toku Squad !!! 'Mangaryidarhypar222' on Twitch,United Hyping of Merica,2218,117,7012,2018-09-26 01:22:06,2020-07-06 22:01:48,0,"@LizKatzOfficial People need to reconsider but recognize #parasiteeve you know like enjoying it once more especially streaming it, #YouTube vids n making it #trendingtopic #Popular #franchise Here’s to hoping~ One of these days! Wait n see! 🙏","[{'text': 'parasiteeve', 'indices': [57, 69]}, {'text': 'YouTube', 'indices': [131, 139]}, {'text': 'trendingtopic', 'indices': [157, 171]}, {'text': 'Popular', 'indices': [172, 180]}, {'text': 'franchise', 'indices': [181, 191]}]"
SonoranBlossom,"High-quality, loose-leaf & ready to drink tea that is sustainably grown, sourced & packaged. Because we believe in the health of the body & planet!","Phoenix, AZ",43,35,145,2019-07-05 17:08:49,2020-07-06 22:00:29,0,"#Ginger #Peach black #tea is one of our most #popular teas. Not only #tasty but its also known to🍑Boost the #immunesystem🍑reduce muscle pain/soreness🍑anti-inflammatory🍑improve #heart health &amp; #brain function. If you dont #love it, well buy it back! https://t.co/Buhc5ZlFn0 https://t.co/fP3Cv3EuFP","[{'text': 'Ginger', 'indices': [0, 7]}, {'text': 'Peach', 'indices': [8, 14]}, {'text': 'tea', 'indices': [21, 25]}, {'text': 'popular', 'indices': [45, 53]}, {'text': 'tasty', 'indices': [69, 75]}, {'text': 'immunesystem', 'indices': [108, 121]}, {'text': 'heart', 'indices': [176, 182]}, {'text': 'brain', 'indices': [196, 202]}, {'text': 'love', 'indices': [225, 230]}]"
MoonDreamsMusic,Award Winning Recording Artist - Soon: Tropical Breeze Remix Single https://t.co/6x2vCrEvo5 http:/https://t.co/Ykka9PM3oA,,5178,4904,16038,2012-03-08 19:45:13,2020-07-06 21:31:07,15,@MunchLine has #curated an awsome #playlist for you w/ the #most #popular #songs of #July #Independent #artists #Lukas @InRegalia @MoonDreamsMusic @JohnClark_Music @asecondlifeNY @ZODALITT @babetteduwez @Infomightyfall1 #NowPlaying https://t.co/496BnH3bcV,"[{'text': 'curated', 'indices': [36, 44]}, {'text': 'playlist', 'indices': [55, 64]}, {'text': 'most', 'indices': [80, 85]}, {'text': 'popular', 'indices': [86, 94]}, {'text': 'songs', 'indices': [95, 101]}, {'text': 'July', 'indices': [105, 110]}, {'text': 'Independent', 'indices': [111, 123]}, {'text': 'artists', 'indices': [124, 132]}, {'text': 'Lukas', 'indices': [133, 139]}]"
JamesJava,#Sports #NewMedia #Music #Arts #Tech #Reading #Gaming #Digital #Science #Marketing #PR #DJ #Health #Culture #Photography Help me past this limit. I #FB #FF,#LongIsland NY,15846,14305,507235,2009-04-24 07:59:49,2020-07-06 21:30:14,15,@MunchLine has #curated an awsome #playlist for you w/ the #most #popular #songs of #July #Independent #artists #Lukas @InRegalia @MoonDreamsMusic @JohnClark_Music @asecondlifeNY @ZODALITT @babetteduwez @Infomightyfall1 #NowPlaying https://t.co/496BnH3bcV,"[{'text': 'curated', 'indices': [36, 44]}, {'text': 'playlist', 'indices': [55, 64]}, {'text': 'most', 'indices': [80, 85]}, {'text': 'popular', 'indices': [86, 94]}, {'text': 'songs', 'indices': [95, 101]}, {'text': 'July', 'indices': [105, 110]}, {'text': 'Independent', 'indices': [111, 123]}, {'text': 'artists', 'indices': [124, 132]}, {'text': 'Lukas', 'indices': [133, 139]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-06 21:26:12,0,"Facebook, Twitter, Google pause review of Hong Kong requests for user data https://t.co/9eJ0rFeMFB via @ric9871ric #news #popular https://t.co/8YJ7nI0tz0","[{'text': 'news', 'indices': [115, 120]}, {'text': 'popular', 'indices': [121, 129]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-06 21:23:06,0,Tech shares set fresh records despite uncertain economy https://t.co/Z6V3oGUWaE via @ric9871ric  #retweetplease #popular https://t.co/zH3YDHR9Pn,"[{'text': 'retweetplease', 'indices': [97, 111]}, {'text': 'popular', 'indices': [112, 120]}]"
1986_fleer,"Sports card collector. #broncos, #yankees, #celtics. PC Elway, Yelich, Mussina, Drew Lock","Massachusetts, USA",338,261,1537,2020-04-23 23:37:33,2020-07-06 21:16:30,0,@Ms_Anthrope13 Wow lots of likes here. #popular,"[{'text': 'popular', 'indices': [39, 47]}]"
taderia,1913🔺🐘JacksonStateUniversity ‘22💙🐯 BE GREAT✨ Jeremiah 29:11🙌🏽,,1127,1199,14488,2011-12-28 20:10:20,2020-07-06 21:08:02,1,"STREAMING ALL PLATFORMS 😜🔥😊! Make sure you download 🔥 CLICK LINK IN BIO! let’s run FADED UP 🔥🔥🔥 
#grindcityrecords #faded #fadedbrezay
•
•
•
#newmusic #upcomingartist #memphis #popmusic #popular #explorepage https://t.co/Bcx4MuthLQ","[{'text': 'grindcityrecords', 'indices': [117, 134]}]"
officialBreZay,ΔΣΘ🔺🐣 NEW SINGLE OUT NOW CLICK BIO,,817,1154,571,2019-08-29 18:01:43,2020-07-06 21:03:28,1,"STREAMING ALL PLATFORMS 😜🔥😊! Make sure you download 🔥 CLICK LINK IN BIO! let’s run FADED UP 🔥🔥🔥 
#grindcityrecords #faded #fadedbrezay
•
•
•
#newmusic #upcomingartist #memphis #popmusic #popular #explorepage https://t.co/Bcx4MuthLQ","[{'text': 'grindcityrecords', 'indices': [97, 114]}, {'text': 'faded', 'indices': [115, 121]}, {'text': 'fadedbrezay', 'indices': [122, 134]}, {'text': 'newmusic', 'indices': [141, 150]}, {'text': 'upcomingartist', 'indices': [151, 166]}, {'text': 'memphis', 'indices': [167, 175]}, {'text': 'popmusic', 'indices': [176, 185]}, {'text': 'popular', 'indices': [186, 194]}, {'text': 'explorepage', 'indices': [195, 207]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-06 20:53:21,0,Logistics are key as NYC startup prepares to reopen office https://t.co/Uo58aKAGPC via @ric9871ric  #news #popular https://t.co/O9LIerCDjM,"[{'text': 'news', 'indices': [100, 105]}, {'text': 'popular', 'indices': [106, 114]}]"
raynaaax,Kim and Collin run in here and come get y’all juice | IM 14 STOP.,Spooky town,31,18,108,2020-07-04 03:06:39,2020-07-06 20:46:42,0,@Big0mar omg feeling #popular 🙈,"[{'text': 'popular', 'indices': [21, 29]}]"
Ric9871Ric,,VA,22494,22124,232167,2013-12-27 04:47:29,2020-07-06 20:43:21,0,U.S. online grocery shopping hits record $7.2 billion in June https://t.co/ud13QkP8b2 via @ric9871ric  #popular #retweet https://t.co/spyJ7E4Bs5,"[{'text': 'popular', 'indices': [103, 111]}, {'text': 'retweet', 'indices': [112, 120]}]"
AmySmit20795716,,,0,3,111,2020-05-22 14:09:28,2020-07-06 20:35:45,0,Sometimes you have to learn to love what's good for you. #popular #foursome https://t.co/iYg4sYOr4G,"[{'text': 'popular', 'indices': [57, 65]}, {'text': 'foursome', 'indices': [66, 75]}]"
alyinna_,Nisu istine,,16,7,20,2020-05-07 11:11:31,2020-07-06 20:26:24,0,"Ya'll talking about ""365 days"" but no one talks about ""The War of don Emmanuel's Nether Parts"" by Louis de Bernieres (chapter 21, page 204)
#365days #books #censored #Popular","[{'text': '365days', 'indices': [140, 148]}, {'text': 'books', 'indices': [149, 155]}, {'text': 'censored', 'indices': [156, 165]}, {'text': 'Popular', 'indices': [166, 174]}]"
Mideh14,"💕💕
God's Lover. Smile as much as you can💖",,5045,4702,54169,2018-12-23 19:05:06,2020-07-06 20:17:22,18,"Kindly Subscribe to my Youtube Channel ""Data is Essential"" and Turn ON Bell Notification for mind-thrilling and informative videos.

👉https://t.co/xt1uos0pWY
 
#Youtube #data #statistics #charts #ranking #popular #top10 #datavisualization #history 👉Follow👉 @Dataisessential https://t.co/CKdI2xaCnt",[]
FastSoleUK,https://t.co/KxH90I8MSj is a web portal for UK and Europe Sneaker News & Release Updates with confirmed stock list of released and upcoming products.,United Kingdom,566,2321,16452,2015-12-14 18:51:12,2020-07-06 20:06:08,0,"Jordan 5 Alternate Grape Core Black Release Date Is So Closer!!

https://t.co/bVOfGv60w7

#nike #jordan5 #alternate #grape #core #black #releasedate #closer #trendy #popular #unique #famous #sneakernews #sneakerlover #upcoming #article #release #news #top #fashion #fastsole https://t.co/G3UoI7wWdI","[{'text': 'nike', 'indices': [90, 95]}, {'text': 'jordan5', 'indices': [96, 104]}, {'text': 'alternate', 'indices': [105, 115]}, {'text': 'grape', 'indices': [116, 122]}, {'text': 'core', 'indices': [123, 128]}, {'text': 'black', 'indices': [129, 135]}, {'text': 'releasedate', 'indices': [136, 148]}, {'text': 'closer', 'indices': [149, 156]}, {'text': 'trendy', 'indices': [157, 164]}, {'text': 'popular', 'indices': [165, 173]}, {'text': 'unique', 'indices': [174, 181]}, {'text': 'famous', 'indices': [182, 189]}, {'text': 'sneakernews', 'indices': [190, 202]}, {'text': 'sneakerlover', 'indices': [203, 216]}, {'text': 'upcoming', 'indices': [217, 226]}, {'text': 'article', 'indices': [227, 235]}, {'text': 'release', 'indices': [236, 244]}, {'text': 'news', 'indices': [245, 250]}, {'text': 'top', 'indices': [251, 255]}, {'text': 'fashion', 'indices': [256, 264]}, {'text': 'fastsole', 'indices': [265, 274]}]"
mrjcleaver,Atlassian Partner since 2007; DevOps; Toronto; 2008 Industry Chair for WikiSym. MSc Comp Sci & MBA. Founder & Co-CEO https://t.co/51Fmxj9KwH,"Toronto, Ontario",2183,1719,5533,2007-01-22 15:11:20,2020-07-06 20:03:31,3,"Join us along with the @TempoHQ team for a great session on Tempo Cost Tracker, Tempo’s #financial tracking solution. Learn how Cost Tracker comes into play along with its features, #popular use cases, product #insights, and more. https://t.co/0wVjNqEulG #jira #atlassian","[{'text': 'financial', 'indices': [102, 112]}]"
FastSoleUK,https://t.co/KxH90I8MSj is a web portal for UK and Europe Sneaker News & Release Updates with confirmed stock list of released and upcoming products.,United Kingdom,566,2321,16452,2015-12-14 18:51:12,2020-07-06 20:03:08,0,"You Can Get Upto 50% Off On These Hit Sneakers At Footasylum!

https://t.co/Y6wfsolCkL

#footasylum #footasylumuk #offeranddiscount #getupto50 #hitsneaker #trendy #popular #style #unique #famous #sneakernews #sneakerlover #upcoming #article #release #news #top #fashion #fastsole https://t.co/piOuXvhSe5","[{'text': 'footasylum', 'indices': [88, 99]}, {'text': 'footasylumuk', 'indices': [100, 113]}, {'text': 'offeranddiscount', 'indices': [114, 131]}, {'text': 'getupto50', 'indices': [132, 142]}, {'text': 'hitsneaker', 'indices': [143, 154]}, {'text': 'trendy', 'indices': [155, 162]}, {'text': 'popular', 'indices': [163, 171]}, {'text': 'style', 'indices': [172, 178]}, {'text': 'unique', 'indices': [179, 186]}, {'text': 'famous', 'indices': [187, 194]}, {'text': 'sneakernews', 'indices': [195, 207]}, {'text': 'sneakerlover', 'indices': [208, 221]}, {'text': 'upcoming', 'indices': [222, 231]}, {'text': 'article', 'indices': [232, 240]}, {'text': 'release', 'indices': [241, 249]}, {'text': 'news', 'indices': [250, 255]}, {'text': 'top', 'indices': [256, 260]}, {'text': 'fashion', 'indices': [261, 269]}, {'text': 'fastsole', 'indices': [270, 279]}]"
